フェーズ,タスク,カテゴリ,ステータス,優先度,工数（日）,期日,説明
Phase 1 インフラ構築,1-1 Firebaseプロジェクト構築,Firebase,完了,MUST,0.5,2026年3月6日 → 2026年3月7日,プロジェクト作成・Firestore DB作成・Firebase Hosting設定・Firebase Auth設定
Phase 1 インフラ構築,1-2 ドメイン・SSL設定,ドメイン,完了,MUST,0.5,2026年3月5日 → 2026年3月6日,独自ドメイン取得（例: yoyaku.fukumoto.jp）・SSL証明書自動発行・DNS設定
Phase 1 インフラ構築,1-3 メール送信API構築,バックエンド,完了,MUST,1.5,2026年3月7日 → 2026年3月9日,Resend または SendGrid 契約・Firebase Functions で送信ロジック実装・SPF/DKIM 認証設定（迷惑メール対策）
Phase 2 コード移行,2-1 localStorage → Firestore 移行,データベース,完了,MUST,2,2026年3月6日 → 2026年3月8日,予約データをブラウザのlocalStorageからFirestoreへ移行。全デバイスからアクセス可能・データ永続化
Phase 2 コード移行,2-2 管理画面認証実装,認証,完了,MUST,1,2026年3月9日,Firebase Auth で管理画面をパスワード保護。患者は書き込みのみ・管理者は読み書き可
Phase 2 コード移行,2-3 二重予約防止（トランザクション）,バックエンド,完了,MUST,0.5,2026年3月10日,Firestoreトランザクション（排他制御）で同一枠の二重予約を防止
Phase 2 コード移行,2-4 リアルタイム同期実装,データベース,完了,MUST,0.5,2026年3月10日,Firestoreのリアルタイムリスナーで予約状況を即時反映
Phase 3 通知機能,3-1 患者への確認メール実装,メール,完了,MUST,1,2026年3月11日,予約確定と同時に自動送信。送信内容：予約番号・日時・担当・キャンセル方法
Phase 3 通知機能,3-2 管理者への新着通知実装,メール,完了,MUST,0.5,2026年3月12日,新規予約が入ったらリアルタイムで管理者へ通知。送信内容：患者名・日時・症状・初再診区分
Phase 3 通知機能,3-3 前日リマインダー実装,メール,完了,NICE TO HAVE,1,2026年3月13日,予約前日に患者へ自動送信。Firebase Functions の定期実行（Cloud Scheduler）でスケジュール処理
Phase 4 仕上げ,4-1 個人情報同意チェックボックス追加,フロントエンド,完了,SHOULD,0.5,2026年3月14日,予約フォームに個人情報の取り扱いへの同意チェックボックスを追加
Phase 4 仕上げ,4-2 プライバシーポリシーページ作成,法的対応,完了,SHOULD,0.5,2026年3月15日,個人情報の取り扱いに関するプライバシーポリシーページを作成
Phase 4 仕上げ,4-3 コンテンツ修正,コンテンツ,完了,SHOULD,0.5,2026年3月16日,電話番号のプレースホルダーを本番値に変更・PDFの日本語ラベル修正・日本語フォント埋め込み・デモデータ無効化
Phase 4 仕上げ,4-4 祝日API連携,フロントエンド,完了,SHOULD,0.5,2026年3月16日,E1-3（休日設定機能）に統合済み
Phase 5 リリース,5-1 Firestoreセキュリティルール設定,セキュリティ,未着手,SHOULD,0.5,2026年3月17日,アクセス制御ルール設定：患者は書き込みのみ・管理者は読み書き可
Phase 5 リリース,5-2 UAT（受入テスト）実施,テスト,未着手,SHOULD,0.5,2026年3月17日,本番環境での動作確認。予約・確認メール・管理画面・モバイル表示の網羅的テスト
Phase 5 リリース,5-3 Firebase Hosting へデプロイ,デプロイ,完了,SHOULD,0.5,2026年3月18日,Firebase CLI で本番環境へデプロイ。公開前の最終チェックを実施
Phase 6 管理画面エンハンス,E1-1 スタッフ管理画面追加,フロントエンド,未着手,MUST,1,2026年3月19日,スタッフ向けにメールアドレス変更機能・パスワード再設定機能を管理画面に追加
Phase 6 管理画面エンハンス,E1-2 カラーテーマ選択機能追加,フロントエンド,未着手,SHOULD,1,2026年3月20日,ダーク・ホワイト・ツートーンなどのカラーテーマをスタッフがUIから変更できる機能を追加
Phase 6 管理画面エンハンス,E1-3 休日設定機能追加,フロントエンド,完了,MUST,0.5,2026年3月21日,管理画面から任意の日を休日に設定でき、予約画面で選択不可になる機能を追加。祝日API連携も統合済み
Phase 6 管理画面エンハンス,E1-4 院名設定・変更機能追加,フロントエンド,完了,SHOULD,0.5,2026年3月21日,利用医院が変わった場合に対応するため、管理画面から院名を設定・変更できる機能を追加
Phase 6 管理画面エンハンス,E1-5 営業時間設定機能追加,フロントエンド,完了,MUST,1,2026年3月22日,現状 app.js の BUSINESS_HOURS を直接編集している営業時間を、管理画面のUIから設定できる機能に変更
Phase 6 管理画面エンハンス,E1-6 予約受付最終時刻変更機能追加,フロントエンド,完了,MUST,0.5,2026年3月23日,現在時刻から〇分先まで予約受付可能かを管理画面から設定できる機能を追加
Phase 6 管理画面エンハンス,E1-7 予約キャンセル受付時間設定機能追加,フロントエンド,完了,MUST,0.5,2026年3月23日,予約開始〇分前までキャンセルを受け付けるかを管理画面から設定できる機能を追加
Phase 6 管理画面エンハンス,E1-8 プライバシーポリシー設定機能追加,フロントエンド,完了,MUST,0.5,2026年3月24日,医院ごとに異なるプライバシーポリシーを管理画面から設定できる機能を追加
Phase 6 管理画面エンハンス,E1-9 パスワード再設定機能追加（管理者）,認証,完了,MUST,0.5,2026年3月24日,ログイン画面の「パスワードをお忘れの方」から再設定用リンクメールを送信する機能を追加
Phase 6 管理画面エンハンス,E1-10 パスワード再設定完了画面追加（管理者）,認証,完了,MUST,0.5,2026年3月25日,パスワード再設定完了後、ログイン画面に戻るリンクを表示する画面を追加
Phase 7 患者画面エンハンス,E2-1 予約受付最終時刻の予約画面反映,フロントエンド,完了,MUST,0.5,2026年3月26日,E1-6で設定した受付最終時刻を予約画面に反映し、対象時間帯の予約ボタンを選択不可にする
